"","id","year","gear","quarter","vlength","tot_fish_day"
"68","05E9","2021","PS","2","VL2440",6
"69","05E9","2021","PS","3","VL1218",34
"70","05E9","2021","PS","3","VL1824",174
"71","05E9","2021","PS","3","VL2440",35
"72","05E9","2021","PS","4","VL1218",23
"73","05E9","2021","PS","4","VL1824",231
"74","05E9","2021","PS","4","VL2440",34
"75","05F0","2021","PS","1","VL1218",890
"76","05F0","2021","PS","1","VL1824",5696
"77","05F0","2021","PS","1","VL2440",712
"78","05F0","2021","PS","2","VL1824",1424
"79","05F0","2021","PS","2","VL2440",352.44
"80","05F0","2021","PS","2","VL40XX",1413.32
"81","05F0","2021","PS","3","VL1218",356
"82","05F0","2021","PS","3","VL1824",2848
"83","05F0","2021","PS","3","VL2440",712
"84","05F0","2021","PS","4","VL1218",1424
"85","05F0","2021","PS","4","VL1824",18868
"86","05F0","2021","PS","4","VL2440",8900
"87","05F1","2021","PS","2","VL2440",609.84
"88","06F0","2021","PS","1","VL0612",1575
"89","06F0","2021","PS","1","VL1218",13860
"90","06F0","2021","PS","1","VL1824",50400
"91","06F0","2021","PS","1","VL2440",22050
"92","06F0","2021","PS","2","VL1218",2205
"93","06F0","2021","PS","2","VL1824",7875
"94","06F0","2021","PS","2","VL2440",5969.25
"95","06F0","2021","PS","2","VL40XX",311.85
"96","06F0","2021","PS","3","VL1218",4095
"97","06F0","2021","PS","3","VL1824",14490
"98","06F0","2021","PS","3","VL2440",7245
"99","06F0","2021","PS","4","VL1218",945
"100","06F0","2021","PS","4","VL1824",22050
"101","06F0","2021","PS","4","VL2440",12600
"102","06F0","2021","PS","4","VL40XX",315
"103","06F1","2021","PS","1","VL0612",4664
"104","06F1","2021","PS","2","VL40XX",2903.34
"105","06F1","2021","PS","3","VL1824",6996
"106","06F1","2021","PS","3","VL2440",2915
"107","06F1","2021","PS","4","VL1824",1166
"108","06F3","2021","PS","1","VL1218",306.5
"109","06F3","2021","PS","1","VL1824",613
"110","06F8","2021","PS","1","VL1218",4590
"111","06F8","2021","PS","2","VL1218",1836
"112","06F8","2021","PS","3","VL1218",1275
"113","06F8","2021","PS","4","VL1218",3876
"114","07F0","2021","PS","1","VL1218",1588
"115","07F0","2021","PS","1","VL1824",6153.5
"116","07F0","2021","PS","1","VL2440",2779
"117","07F0","2021","PS","2","VL1218",397
"118","07F0","2021","PS","2","VL1824",10322
"119","07F0","2021","PS","2","VL2440",5554.03
"120","07F0","2021","PS","3","VL1824",17468
"121","07F0","2021","PS","3","VL2440",17071
"122","07F0","2021","PS","4","VL1824",27393
"123","07F0","2021","PS","4","VL2440",28981
"124","07F1","2021","PS","2","VL2440",14389.8
"125","07F1","2021","PS","2","VL40XX",6919.4
"126","07F1","2021","PS","3","VL1824",580
"127","07F1","2021","PS","3","VL2440",580
"128","07F1","2021","PS","4","VL2440",580
"129","07F2","2021","PS","1","VL0612",3878
"130","07F2","2021","PS","1","VL1218",21052
"131","07F2","2021","PS","2","VL0612",2770
"132","07F2","2021","PS","2","VL1218",44320
"133","07F2","2021","PS","3","VL1218",27700
"134","07F2","2021","PS","4","VL1218",3324
"135","07F8","2021","PS","1","VL1218",144
"136","07F8","2021","PS","2","VL1218",96
"137","07F8","2021","PS","3","VL1218",1632
"138","07F8","2021","PS","4","VL1218",96
"139","08F0","2021","PS","1","VL1824",15561
"140","08F0","2021","PS","1","VL2440",16087.5
"141","08F0","2021","PS","2","VL1824",13104
"142","08F0","2021","PS","2","VL2440",12285
"143","08F0","2021","PS","3","VL1824",30069
"144","08F0","2021","PS","3","VL2440",41008.5
"145","08F0","2021","PS","4","VL1824",9477
"146","08F0","2021","PS","4","VL2440",11115
"147","08F1","2021","PS","2","VL2440",1749.33
"148","08F1","2021","PS","3","VL2440",589
"149","08F1","2021","PS","4","VL2440",589
"150","08F2","2021","PS","1","VL0612",16800
"151","08F2","2021","PS","1","VL1218",9240
"152","08F2","2021","PS","2","VL0612",4620
"153","08F2","2021","PS","2","VL1218",7560
"154","08F2","2021","PS","3","VL0612",14280
"155","08F2","2021","PS","3","VL1218",5460
"156","08F2","2021","PS","4","VL0612",7980
"157","08F2","2021","PS","4","VL1218",420
"158","08F3","2021","PS","3","VL1218",11250
"159","08F3","2021","PS","4","VL1218",11700
"160","08F7","2021","PS","2","VL1218",3678
"161","08F7","2021","PS","3","VL1218",6743
"162","08F7","2021","PS","4","VL1218",3678
"163","08F8","2021","PS","2","VL1218",2714
"164","08F8","2021","PS","3","VL1218",2484
"165","08F8","2021","PS","4","VL1218",3404
"166","09F1","2021","PS","1","VL1218",806
"167","09F1","2021","PS","2","VL1824",1209
"168","09F1","2021","PS","2","VL2440",806
"169","09F1","2021","PS","3","VL1218",403
"170","09F1","2021","PS","3","VL1824",5239
"171","09F1","2021","PS","3","VL2440",2015
"172","09F1","2021","PS","4","VL1824",403
"173","09F1","2021","PS","4","VL2440",403
"174","09F3","2021","PS","3","VL1824",1166
"175","09F3","2021","PS","3","VL2440",583
"176","09F7","2021","PS","4","VL1218",4896
"177","09F8","2021","PS","1","VL1824",92
"178","09F8","2021","PS","2","VL1218",690
"179","09F8","2021","PS","2","VL1824",46
"180","09F8","2021","PS","3","VL1218",1242
"181","09F8","2021","PS","3","VL1824",644
"182","09F8","2021","PS","4","VL1218",276
"183","10F1","2021","PS","1","VL1218",1180
"184","10F1","2021","PS","1","VL1824",2832
"185","10F1","2021","PS","1","VL2440",708
"186","10F1","2021","PS","2","VL1218",10620
"187","10F1","2021","PS","2","VL1824",46020
"188","10F1","2021","PS","2","VL2440",8968
"189","10F1","2021","PS","3","VL1218",8968
"190","10F1","2021","PS","3","VL1824",22420
"191","10F1","2021","PS","3","VL2440",4484
"192","10F1","2021","PS","4","VL1218",7080
"193","10F1","2021","PS","4","VL1824",23128
"194","10F1","2021","PS","4","VL2440",4484
"195","10F2","2021","PS","3","VL1824",596
"196","10F8","2021","PS","1","VL1824",1008
"197","10F8","2021","PS","2","VL1824",3696
"198","10F8","2021","PS","3","VL1218",864
"199","10F8","2021","PS","3","VL1824",2880
"200","11F1","2021","PS","1","VL1218",616
"201","11F1","2021","PS","1","VL1824",948
"202","11F1","2021","PS","1","VL2440",232
"203","11F1","2021","PS","2","VL1218",1116
"204","11F1","2021","PS","2","VL1824",1132
"205","11F1","2021","PS","2","VL2440",428
"206","11F1","2021","PS","3","VL1218",1500
"207","11F1","2021","PS","3","VL1824",1564
"208","11F1","2021","PS","3","VL2440",532
"209","11F1","2021","PS","4","VL1218",404
"210","11F1","2021","PS","4","VL1824",544
"211","11F1","2021","PS","4","VL2440",164
"212","11F2","2021","PS","1","VL0612",4086
"213","11F2","2021","PS","1","VL1218",8853
"214","11F2","2021","PS","1","VL1824",56296
"215","11F2","2021","PS","1","VL2440",681
"216","11F2","2021","PS","2","VL0612",2270
"217","11F2","2021","PS","2","VL1218",14755
"218","11F2","2021","PS","2","VL1824",106463
"219","11F2","2021","PS","2","VL2440",18614
"220","11F2","2021","PS","3","VL1218",13847
"221","11F2","2021","PS","3","VL1824",83763
"222","11F2","2021","PS","3","VL2440",6129
"223","11F2","2021","PS","4","VL1218",5448
"224","11F2","2021","PS","4","VL1824",37228
"225","11F2","2021","PS","4","VL2440",2724
"226","11F3","2021","PS","1","VL1218",1124
"227","11F3","2021","PS","1","VL1824",1405
"228","11F3","2021","PS","2","VL1218",1124
"229","11F3","2021","PS","2","VL1824",1686
"230","11F3","2021","PS","3","VL1824",562
"231","11F3","2021","PS","4","VL1824",2248
"232","11F8","2021","PS","1","VL1824",135
"233","11F8","2021","PS","2","VL1824",900
"234","11F8","2021","PS","3","VL1218",135
"235","11F8","2021","PS","3","VL1824",765
"236","12F3","2021","PS","1","VL0612",618
"237","12F3","2021","PS","1","VL1218",35226
"238","12F3","2021","PS","1","VL1824",32136
"239","12F3","2021","PS","2","VL0612",309
"240","12F3","2021","PS","2","VL1218",68752.5
"241","12F3","2021","PS","2","VL1824",56547
"242","12F3","2021","PS","2","VL2440",2781
"243","12F3","2021","PS","3","VL0612",309
"244","12F3","2021","PS","3","VL1218",77250
"245","12F3","2021","PS","3","VL1824",77404.5
"246","12F3","2021","PS","4","VL1218",29200.5
"247","12F3","2021","PS","4","VL1824",55156.5
"248","12F3","2021","PS","4","VL2440",2472
"249","13F3","2021","PS","1","VL0612",1575
"250","13F3","2021","PS","1","VL1218",12495
"251","13F3","2021","PS","1","VL1824",6142.5
"252","13F3","2021","PS","2","VL0612",3360
"253","13F3","2021","PS","2","VL1218",17745
"254","13F3","2021","PS","2","VL1824",11025
"255","13F3","2021","PS","3","VL0612",5642.02331379588
"256","13F3","2021","PS","3","VL1218",14910
"257","13F3","2021","PS","3","VL1824",9765
"258","13F3","2021","PS","4","VL0612",1999.063103982
"259","13F3","2021","PS","4","VL1218",7035
"260","13F3","2021","PS","4","VL1824",6825
"261","13F8","2021","PS","1","VL0612",13.661987100571
"262","13F8","2021","PS","2","VL0612",8.81960461209792
"263","13F8","2021","PS","3","VL0612",0.499481329448544
"264","14F4","2021","PS","1","VL0612",37.2896339528976
"265","14F4","2021","PS","2","VL0612",47.8175403685333
"266","14F4","2021","PS","3","VL1218",43.4729070632839
"267","14F4","2021","PS","4","VL0612",38.161576856077
"268","14F4","2021","PS","4","VL1218",306.986542397125
"269","14F5","2021","PS","1","VL0612",355.361410471456
"270","14F5","2021","PS","2","VL0612",325.631897470045
"271","14F5","2021","PS","3","VL0612",281.441151228122
"272","14F5","2021","PS","4","VL0612",1266.36556857572
"273","14F5","2021","PS","4","VL1218",212.575642577606
"274","14F6","2021","PS","1","VL0612",519.615951571294
"275","14F6","2021","PS","2","VL0612",239.407703444035
"276","14F6","2021","PS","3","VL0612",2090.34590124788
"277","14F6","2021","PS","4","VL0612",780.078104367377
"278","14F8","2021","PS","1","VL0612",43.3814191974998
"279","14F8","2021","PS","2","VL0612",75.7675603761731
"280","14F8","2021","PS","3","VL0612",8.83809464140503
"281","15F6","2021","PS","1","VL0612",189.209393145804
"282","15F6","2021","PS","2","VL0612",87.1762811478298
"283","15F6","2021","PS","3","VL0612",1942.47825096769
"284","15F6","2021","PS","4","VL0612",1090.18693159628
"285","15F7","2021","PS","1","VL0612",272.276966138956
"286","15F7","2021","PS","2","VL0612",125.448810735928
"287","15F7","2021","PS","3","VL0612",953.886673278775
"288","15F7","2021","PS","4","VL0612",312.23383914655
"289","16F6","2021","PS","3","VL0612",0.55513805878448
"290","16F6","2021","PS","4","VL0612",0.378829008062595
"291","16F7","2021","PS","1","VL0612",83.0319890709805
"292","16F7","2021","PS","2","VL0612",38.2561346620749
"293","16F7","2021","PS","2","VL1218",2718
"294","16F7","2021","PS","3","VL0612",726.535428750511
"295","16F7","2021","PS","3","VL1218",8456
"296","16F7","2021","PS","4","VL0612",392.502482620607
"297","16F7","2021","PS","4","VL1218",302
"298","16F8","2021","PS","1","VL1218",272
"299","16F8","2021","PS","2","VL1218",2244
"300","16F8","2021","PS","3","VL1218",3094
"301","16F8","2021","PS","4","VL1218",102
